but the staff was so horrible to us . [O] [A] [S]	[O] horrible [A] staff [S] bad
the quality of food at this restaurant accompanied by fantastic live jazz makes this place a perfect 10 ! [S] [O] [A]	[S] good [O] perfect [A] quality of food [SSEP] [S] good [O] fantastic [A] live jazz
if your visiting , you 'll enjoy the ambiance and the fact that it 's in time sq ... [O] [A] [S]	[O] enjoy [A] ambiance [S] good
if your visiting , you 'll enjoy the ambiance and the fact that it 's in time sq ... [O] [S] [A]	[O] enjoy [S] good [A] ambiance
if your visiting , you 'll enjoy the ambiance and the fact that it 's in time sq ... [A] [O] [S]	[A] ambiance [O] enjoy [S] good
if your visiting , you 'll enjoy the ambiance and the fact that it 's in time sq ... [A] [S] [O]	[A] ambiance [S] good [O] enjoy
if your visiting , you 'll enjoy the ambiance and the fact that it 's in time sq ... [S] [O] [A]	[S] good [O] enjoy [A] ambiance
service and food is what any one would expect when spending that type of money . [O] [A] [S]	[O] expect [A] service [S] ok [SSEP] [O] expect [A] food [S] ok
service and food is what any one would expect when spending that type of money . [O] [S] [A]	[O] expect [S] ok [A] service [SSEP] [O] expect [S] ok [A] food
service and food is what any one would expect when spending that type of money . [A] [O] [S]	[A] service [O] expect [S] ok [SSEP] [A] food [O] expect [S] ok
service and food is what any one would expect when spending that type of money . [A] [S] [O]	[A] service [S] ok [O] expect [SSEP] [A] food [S] ok [O] expect
service and food is what any one would expect when spending that type of money . [S] [O] [A]	[S] ok [O] expect [A] service [SSEP] [S] ok [O] expect [A] food
love the atmosphere - felt like i was in paris . [O] [A] [S]	[O] love [A] atmosphere [S] good
love the atmosphere - felt like i was in paris . [O] [S] [A]	[O] love [S] good [A] atmosphere
love the atmosphere - felt like i was in paris . [A] [O] [S]	[A] atmosphere [O] love [S] good
love the atmosphere - felt like i was in paris . [A] [S] [O]	[A] atmosphere [S] good [O] love
love the atmosphere - felt like i was in paris . [S] [O] [A]	[S] good [O] love [A] atmosphere
every course was better than the next . [O] [A] [S]	[O] better [A] course [S] good
every course was better than the next . [O] [S] [A]	[O] better [S] good [A] course
every course was better than the next . [A] [O] [S]	[A] course [O] better [S] good
every course was better than the next . [A] [S] [O]	[A] course [S] good [O] better
every course was better than the next . [S] [O] [A]	[S] good [O] better [A] course
the staff is incredibly helpful and attentive . [O] [A] [S]	[O] helpful [A] staff [S] good [SSEP] [O] attentive [A] staff [S] good
the staff is incredibly helpful and attentive . [O] [S] [A]	[O] helpful [S] good [A] staff [SSEP] [O] attentive [S] good [A] staff
the staff is incredibly helpful and attentive . [A] [O] [S]	[A] staff [O] helpful [S] good [SSEP] [A] staff [O] attentive [S] good
the staff is incredibly helpful and attentive . [A] [S] [O]	[A] staff [S] good [O] helpful [SSEP] [A] staff [S] good [O] attentive
the staff is incredibly helpful and attentive . [S] [O] [A]	[S] good [O] helpful [A] staff [SSEP] [S] good [O] attentive [A] staff
the yellowtail was particularly good as well . [O] [A] [S]	[O] good [A] yellowtail [S] good
the yellowtail was particularly good as well . [O] [S] [A]	[O] good [S] good [A] yellowtail
the yellowtail was particularly good as well . [A] [O] [S]	[A] yellowtail [O] good [S] good
the yellowtail was particularly good as well . [A] [S] [O]	[A] yellowtail [S] good [O] good
the yellowtail was particularly good as well . [S] [O] [A]	[S] good [O] good [A] yellowtail
i ate clams oreganta and spectacular salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil . [O] [A] [S]	[O] perfectly [A] salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil [S] good
i ate clams oreganta and spectacular salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil . [O] [S] [A]	[O] perfectly [S] good [A] salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil
i ate clams oreganta and spectacular salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil . [A] [O] [S]	[A] salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil [O] perfectly [S] good
i ate clams oreganta and spectacular salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil . [A] [S] [O]	[A] salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil [S] good [O] perfectly
i ate clams oreganta and spectacular salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil . [S] [O] [A]	[S] good [O] perfectly [A] salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil
the menu changed , portions were even smaller than before , a lentil dish was salty beyond edibility , a basmati rice dish lacked flavor . [O] [A] [S]	[O] changed [A] menu [S] bad [SSEP] [O] smaller [A] portions [S] bad [SSEP] [O] salty [A] lentil dish [S] bad [SSEP] [O] lacked flavor [A] basmati rice dish [S] bad [SSEP] [O] lacked [A] flavor [S] bad
the menu changed , portions were even smaller than before , a lentil dish was salty beyond edibility , a basmati rice dish lacked flavor . [O] [S] [A]	[O] changed [S] bad [A] menu [SSEP] [O] smaller [S] bad [A] portions [SSEP] [O] salty [S] bad [A] lentil dish [SSEP] [O] lacked flavor [S] bad [A] basmati rice dish [SSEP] [O] lacked [S] bad [A] flavor
the menu changed , portions were even smaller than before , a lentil dish was salty beyond edibility , a basmati rice dish lacked flavor . [A] [O] [S]	[A] menu [O] changed [S] bad [SSEP] [A] portions [O] smaller [S] bad [SSEP] [A] lentil dish [O] salty [S] bad [SSEP] [A] basmati rice dish [O] lacked flavor [S] bad [SSEP] [A] flavor [O] lacked [S] bad
the menu changed , portions were even smaller than before , a lentil dish was salty beyond edibility , a basmati rice dish lacked flavor . [A] [S] [O]	[A] menu [S] bad [O] changed [SSEP] [A] portions [S] bad [O] smaller [SSEP] [A] lentil dish [S] bad [O] salty [SSEP] [A] basmati rice dish [S] bad [O] lacked flavor [SSEP] [A] flavor [S] bad [O] lacked
the menu changed , portions were even smaller than before , a lentil dish was salty beyond edibility , a basmati rice dish lacked flavor . [S] [O] [A]	[S] bad [O] changed [A] menu [SSEP] [S] bad [O] smaller [A] portions [SSEP] [S] bad [O] salty [A] lentil dish [SSEP] [S] bad [O] lacked flavor [A] basmati rice dish [SSEP] [S] bad [O] lacked [A] flavor
patroon features a nice cigar bar and has great staff . [O] [A] [S]	[O] nice [A] cigar bar [S] good [SSEP] [O] great [A] staff [S] good
patroon features a nice cigar bar and has great staff . [O] [S] [A]	[O] nice [S] good [A] cigar bar [SSEP] [O] great [S] good [A] staff
patroon features a nice cigar bar and has great staff . [A] [O] [S]	[A] cigar bar [O] nice [S] good [SSEP] [A] staff [O] great [S] good
patroon features a nice cigar bar and has great staff . [A] [S] [O]	[A] cigar bar [S] good [O] nice [SSEP] [A] staff [S] good [O] great
patroon features a nice cigar bar and has great staff . [S] [O] [A]	[S] good [O] nice [A] cigar bar [SSEP] [S] good [O] great [A] staff
very affordable and excellent ambient ! [O] [A] [S]	[O] affordable [A] ambient [S] good [SSEP] [O] excellent [A] ambient [S] good
very affordable and excellent ambient ! [O] [S] [A]	[O] affordable [S] good [A] ambient [SSEP] [O] excellent [S] good [A] ambient
very affordable and excellent ambient ! [A] [O] [S]	[A] ambient [O] affordable [S] good [SSEP] [A] ambient [O] excellent [S] good
very affordable and excellent ambient ! [A] [S] [O]	[A] ambient [S] good [O] affordable [SSEP] [A] ambient [S] good [O] excellent
very affordable and excellent ambient ! [S] [O] [A]	[S] good [O] affordable [A] ambient [SSEP] [S] good [O] excellent [A] ambient
more important , the sushi rivals the best in tokyo . [O] [A] [S]	[O] best [A] sushi [S] good
more important , the sushi rivals the best in tokyo . [O] [S] [A]	[O] best [S] good [A] sushi
more important , the sushi rivals the best in tokyo . [A] [O] [S]	[A] sushi [O] best [S] good
more important , the sushi rivals the best in tokyo . [A] [S] [O]	[A] sushi [S] good [O] best
more important , the sushi rivals the best in tokyo . [S] [O] [A]	[S] good [O] best [A] sushi
why do people rave about the ambience . [O] [A] [S]	[O] rave [A] ambience [S] bad
why do people rave about the ambience . [O] [S] [A]	[O] rave [S] bad [A] ambience
why do people rave about the ambience . [A] [O] [S]	[A] ambience [O] rave [S] bad
why do people rave about the ambience . [A] [S] [O]	[A] ambience [S] bad [O] rave
why do people rave about the ambience . [S] [O] [A]	[S] bad [O] rave [A] ambience
fluke sashimi drizzled with jalapeno-lime olive oil , the fruit of the oil nicely highlighting the fish 's sweetness . [O] [A] [S]	[O] nicely [A] fruit of the oil [S] good [SSEP] [O] sweetness [A] fish [S] good
fluke sashimi drizzled with jalapeno-lime olive oil , the fruit of the oil nicely highlighting the fish 's sweetness . [O] [S] [A]	[O] nicely [S] good [A] fruit of the oil [SSEP] [O] sweetness [S] good [A] fish
fluke sashimi drizzled with jalapeno-lime olive oil , the fruit of the oil nicely highlighting the fish 's sweetness . [A] [O] [S]	[A] fruit of the oil [O] nicely [S] good [SSEP] [A] fish [O] sweetness [S] good
fluke sashimi drizzled with jalapeno-lime olive oil , the fruit of the oil nicely highlighting the fish 's sweetness . [A] [S] [O]	[A] fruit of the oil [S] good [O] nicely [SSEP] [A] fish [S] good [O] sweetness
fluke sashimi drizzled with jalapeno-lime olive oil , the fruit of the oil nicely highlighting the fish 's sweetness . [S] [O] [A]	[S] good [O] nicely [A] fruit of the oil [SSEP] [S] good [O] sweetness [A] fish
great sushi experience . [O] [A] [S]	[O] great [A] sushi [S] good
great sushi experience . [O] [S] [A]	[O] great [S] good [A] sushi
great sushi experience . [A] [O] [S]	[A] sushi [O] great [S] good
great sushi experience . [A] [S] [O]	[A] sushi [S] good [O] great
great sushi experience . [S] [O] [A]	[S] good [O] great [A] sushi
if you 're looking for a great meal at a decent price , go to del frisco 's ! [O] [A] [S]	[O] great [A] meal [S] good [SSEP] [O] decent [A] price [S] good
if you 're looking for a great meal at a decent price , go to del frisco 's ! [O] [S] [A]	[O] great [S] good [A] meal [SSEP] [O] decent [S] good [A] price
if you 're looking for a great meal at a decent price , go to del frisco 's ! [A] [O] [S]	[A] meal [O] great [S] good [SSEP] [A] price [O] decent [S] good
if you 're looking for a great meal at a decent price , go to del frisco 's ! [A] [S] [O]	[A] meal [S] good [O] great [SSEP] [A] price [S] good [O] decent
if you 're looking for a great meal at a decent price , go to del frisco 's ! [S] [O] [A]	[S] good [O] great [A] meal [SSEP] [S] good [O] decent [A] price
try the congee and the donut like deep fried dough they call ow ley soh , a delicious and sweet tasting bread . [O] [A] [S]	[O] try [A] congee [S] good [SSEP] [O] delicious [A] bread [S] good [SSEP] [O] sweet tasting [A] bread [S] good [SSEP] [O] delicious [A] donut like deep fried dough they call ow ley soh [S] good [SSEP] [O] sweet [A] donut like deep fried dough they call ow ley soh [S] good
try the congee and the donut like deep fried dough they call ow ley soh , a delicious and sweet tasting bread . [O] [S] [A]	[O] try [S] good [A] congee [SSEP] [O] delicious [S] good [A] bread [SSEP] [O] sweet tasting [S] good [A] bread [SSEP] [O] delicious [S] good [A] donut like deep fried dough they call ow ley soh [SSEP] [O] sweet [S] good [A] donut like deep fried dough they call ow ley soh
try the congee and the donut like deep fried dough they call ow ley soh , a delicious and sweet tasting bread . [A] [O] [S]	[A] congee [O] try [S] good [SSEP] [A] bread [O] delicious [S] good [SSEP] [A] bread [O] sweet tasting [S] good [SSEP] [A] donut like deep fried dough they call ow ley soh [O] delicious [S] good [SSEP] [A] donut like deep fried dough they call ow ley soh [O] sweet [S] good
